Level	Rule Name	Subject	Property	Value
WARN	multiple_asserted_superclasses	UBERON:0011138	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0011138	rdfs:subClassOf	UBERON:0000075	
WARN	multiple_asserted_superclasses	UBERON:0012275	rdfs:subClassOf	UBERON:0000483	
WARN	multiple_asserted_superclasses	UBERON:0012275	rdfs:subClassOf	UBERON:0004120	
WARN	multiple_asserted_superclasses	UBERON:0014477	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0014477	rdfs:subClassOf	UBERON:0010912	
WARN	multiple_asserted_superclasses	UBERON:0016879	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0016879	rdfs:subClassOf	UBERON:0006598	
WARN	multiple_asserted_superclasses	UBERON:0036072	rdfs:subClassOf	UBERON:0004185	
WARN	multiple_asserted_superclasses	UBERON:0036072	rdfs:subClassOf	UBERON:0005911	
WARN	multiple_asserted_superclasses	UBERON:0036072	rdfs:subClassOf	UBERON:0007499	
WARN	multiple_asserted_superclasses	UBERON:0036072	rdfs:subClassOf	UBERON:0009854	
WARN	multiple_asserted_superclasses	UBERON:0036072	rdfs:subClassOf	UBERON:0015833	
WARN	multiple_asserted_superclasses	UBERON:0036073	rdfs:subClassOf	UBERON:0000077	
WARN	multiple_asserted_superclasses	UBERON:0036073	rdfs:subClassOf	UBERON:0003104	
WARN	missing_definition	CARO:0000003	IAO:0000115		
WARN	missing_definition	CARO:0000006	IAO:0000115		
WARN	missing_definition	CARO:0000014	IAO:0000115		
WARN	missing_definition	CL:0000082	IAO:0000115		
WARN	missing_definition	CL:0000255	IAO:0000115		
WARN	missing_definition	CL:0000548	IAO:0000115		
WARN	missing_definition	CL:0002632	IAO:0000115		
WARN	missing_definition	GO:0005575	IAO:0000115		
WARN	missing_definition	GO:0005623	IAO:0000115		
WARN	missing_definition	GO:0005634	IAO:0000115		
WARN	missing_definition	GO:0043226	IAO:0000115		
WARN	missing_definition	GO:0043227	IAO:0000115		
WARN	missing_definition	GO:0043229	IAO:0000115		
WARN	missing_definition	GO:0043231	IAO:0000115		
WARN	missing_definition	GO:0044424	IAO:0000115		
WARN	missing_definition	GO:0044464	IAO:0000115		
WARN	missing_definition	PATO:0000001	IAO:0000115		
WARN	missing_definition	PATO:0001241	IAO:0000115		
WARN	missing_definition	PATO:0001396	IAO:0000115		
WARN	missing_definition	PATO:0001404	IAO:0000115		
WARN	missing_definition	PATO:0001405	IAO:0000115		
WARN	missing_definition	PATO:0002505	IAO:0000115		
WARN	missing_definition	RO:0002203	IAO:0000115		
WARN	missing_definition	RO:0002255	IAO:0000115		
WARN	missing_definition	RO:0002495	IAO:0000115		
WARN	missing_definition	RO:0002502	IAO:0000115		
WARN	missing_definition	SCAO:00000000	IAO:0000115		
WARN	missing_definition	UBERON:0005423	IAO:0000115		
WARN	missing_definition	UBERON:0007026	IAO:0000115		
WARN	missing_definition	UBERON:0008947	IAO:0000115		
WARN	missing_definition	UBERON:0009145	IAO:0000115		
WARN	missing_definition	UBERON:0009569	IAO:0000115		
WARN	missing_definition	UBERON:0009618	IAO:0000115		
WARN	missing_definition	UBERON:0009722	IAO:0000115		
WARN	missing_definition	UBERON:0009856	IAO:0000115		
WARN	missing_definition	UBERON:0010316	IAO:0000115		
WARN	missing_definition	UBERON:0013522	IAO:0000115		
WARN	missing_definition	UBERON:0036072	IAO:0000115		
WARN	missing_definition	UBERON:0036073	IAO:0000115		
WARN	duplicate_scoped_synonym	UBERON:0000117	oboInOwl:hasExactSynonym	segment of tracheobronchial tree	
WARN	duplicate_scoped_synonym	UBERON:0000117	oboInOwl:hasNarrowSynonym	segment of tracheobronchial tree	
WARN	duplicate_scoped_synonym	UBERON:0001004	oboInOwl:hasExactSynonym	apparatus respiratorius	
WARN	duplicate_scoped_synonym	UBERON:0001004	oboInOwl:hasRelatedSynonym	apparatus respiratorius	
